mix,step,baseline_avg_final,baseline_avg_maximum,baseline_avg_total,cagrad_avg_final,cagrad_avg_maximum,cagrad_avg_total,ours_avg_final,ours_avg_maximum,ours_avg_total,ours_vs_baseline_total,ours_vs_cagrad_total,ours_vs_best_total
mix4,150,0.7887985034715057,0.7908743401840768,0.789421254485277,0.7975215205775111,0.7975215205775111,0.797521520577511,0.7924929482972938,0.7936695114849666,0.7928459172535955,0.0034246627683185427,-0.004675603323915478,-0.004675603323915478
mix4,200,0.8091555119770237,0.8091555119770237,0.8091555119770236,0.8087823915785066,0.8108897604931291,0.8094146022528933,0.8215276051140512,0.8215276051140512,0.8215276051140511,0.012372093137027473,0.012113002861157796,0.012113002861157796
mix4,250,0.8202679671813657,0.8218346270259542,0.8207379651347423,0.8184143856016968,0.818636276469134,0.8184809528619279,0.8226586419747262,0.8272976073338901,0.8240503315824753,0.0033123664477330284,0.005569378720547413,0.0033123664477330284
mix4,300,0.8250860643481264,0.826872522521281,0.8256220018000727,0.8143429524794014,0.8196237018977224,0.8159271773048975,0.8259876626703253,0.8306517890992147,0.8273869005989919,0.0017648987989191678,0.011459723294094393,0.0017648987989191678
mix4,350,0.8282310635116223,0.831315943067108,0.829156527378268,0.8210015817424512,0.8230180670190339,0.821606527325426,0.8293743435766763,0.8318650602488955,0.830121558578342,0.0009650312000740735,0.008515031252915972,0.0009650312000740735
mix4,400,0.8342077966286124,0.8360153543320636,0.8347500639396478,0.8284097151134502,0.829389975856448,0.8287037933363495,0.8334091484309785,0.8364444978921362,0.8343197532693258,-0.0004303106703219539,0.0056159599329763665,-0.0004303106703219539
mix4,450,0.8373197810700863,0.8397979240185371,0.8380632239546215,0.8308939437512484,0.8342321193531934,0.8318953964318319,0.8345188667733834,0.8378230953591888,0.835510135349125,-0.002553088605496523,0.0036147389172931366,-0.002553088605496523
mix4,500,0.8384739785799484,0.842143880696334,0.839574949214864,0.8317760378619394,0.8355838669928874,0.8329183866012237,0.8402209583125715,0.8407578178151306,0.8403820161633391,0.0008070669484750992,0.007463629562115326,0.0008070669484750992
mix3+mix4,50,0.6623483665782608,0.6623483665782608,0.6623483665782608,0.6827083034683374,0.6827083034683374,0.6827083034683374,0.6947527441016657,0.6947527441016657,0.6947527441016657,0.03240437752340486,0.012044440633328213,0.012044440633328213
mix3+mix4,100,0.7511478444676039,0.7511478444676039,0.7511478444676039,0.7355983576989733,0.7414398328299605,0.7373508002382694,0.7591637381170031,0.7591637381170031,0.7591637381170031,0.008015893649399253,0.02181293787873373,0.008015893649399253
mix3+mix4,150,0.7792054193146009,0.7820706590661741,0.7800649912400728,0.7792473635426287,0.7792473635426287,0.7792473635426287,0.7791467666726377,0.779735048266474,0.7793232511507885,-0.0007417400892842929,7.5887608159797e-05,-0.0007417400892842929
mix3+mix4,200,0.8030860527120907,0.8030860527120907,0.8030860527120907,0.7942247031307615,0.7962180569002609,0.7948227092616114,0.8063427977495429,0.8081740060079696,0.8068921602270709,0.003806107514980228,0.012069450965459527,0.003806107514980228
mix3+mix4,250,0.8076104082175039,0.8116894450260788,0.8088341192600763,0.8063645903749209,0.8067899858644192,0.8064922090217704,0.8141189288834375,0.8168329746895566,0.8149331426252732,0.006099023365196854,0.008440933603502732,0.006099023365196854
mix3+mix4,300,0.8128603898127308,0.8158269241540212,0.813750350115118,0.8076076980838522,0.811378812888177,0.8087390325251496,0.8185910868947655,0.8229856786152296,0.8199094644109046,0.0061591142957866385,0.011170431885755061,0.0061591142957866385
mix3+mix4,350,0.8188594499136137,0.8219090858430629,0.8197743406924484,0.8135156593825339,0.8156151835976222,0.8141455166470604,0.8213425184503799,0.8254172770271905,0.822564946023423,0.002790605330974638,0.008419429376362642,0.002790605330974638
mix3+mix4,400,0.8199626694687674,0.8246781135950717,0.8213773027066587,0.819470409856195,0.8212849210448816,0.820014763212801,0.8196705037406118,0.8282761645309906,0.8222522019777254,0.0008748992710667647,0.0022374387649244376,0.0008748992710667647
mix3+mix4,450,0.8220182920006052,0.8280631397374755,0.8238317463216662,0.8237426737566318,0.8263027755157442,0.8245107042843655,0.8240964150437291,0.8293612022060364,0.8256758511924213,0.0018441048707550367,0.001165146908055803,0.001165146908055803
mix3+mix4,500,0.8225534984585146,0.8297630459305156,0.8247163627001148,0.8220117496078729,0.8271158000373825,0.8235429647367257,0.8290482297465516,0.8318882501439588,0.8299002358657737,0.0051838731656588255,0.006357271129047937,0.0051838731656588255
