step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb
62,1,62,0.0,32.0,32.0,0.3338127136230469,36.82010096963495,2559.78759765625
63,1,63,0.0,32.0,32.0,0.5124015808105469,32.46210201177746,2242.4208984375
64,1,64,0.0,32.0,32.0,0.6479568481445312,42.86303697153926,2807.28076171875
65,1,65,0.0,32.0,32.0,0.3254280090332031,45.00252503203228,2745.44970703125
66,1,66,0.0,32.0,32.0,0.29207611083984375,41.00579296937212,2559.78759765625
67,1,67,0.0,32.0,32.0,0.48621368408203125,40.17948196269572,2413.76171875
68,1,68,0.0,32.0,32.0,0.2851676940917969,44.80717296246439,2663.32177734375
69,1,69,0.0,32.0,32.0,0.2645912170410156,45.03905196906999,2672.23583984375
70,1,70,0.0,32.0,32.0,0.2569160461425781,49.38567499630153,2745.44970703125
71,1,71,0.0,32.0,32.0,0.31478118896484375,46.3986870017834,2663.32177734375
72,1,72,0.0,32.0,32.0,0.3269996643066406,41.11071699298918,2467.07958984375
73,1,73,0.0,32.0,32.0,0.2902641296386719,45.928400999400765,2745.44970703125
74,1,74,0.0,32.0,32.0,0.295867919921875,42.47303697047755,2379.24169921875
75,1,75,0.0,32.0,32.0,0.3830909729003906,40.154271002393216,2518.4384765625
76,1,76,0.0,32.0,32.0,0.4591865539550781,39.579364005476236,2518.4384765625
77,1,77,0.0,32.0,32.0,0.1914691925048828,41.45162599161267,2691.4482421875
78,1,78,0.0,32.0,32.0,0.4665718078613281,38.484944961965084,2518.4384765625
79,1,79,0.0,32.0,32.0,0.5191993713378906,38.7242860160768,2379.24169921875
80,1,80,0.0,32.0,32.0,0.470123291015625,38.69012102950364,2580.8203125
81,1,81,0.0,32.0,32.0,0.3666038513183594,43.70081302477047,2768.408203125
82,1,82,0.0,32.0,32.0,0.4396934509277344,42.916328995488584,2768.408203125
83,1,83,0.0,32.0,32.0,0.3807792663574219,38.62204100005329,2580.8203125
84,1,84,0.0,32.0,32.0,0.42140960693359375,36.400639975909144,2485.58154296875
85,1,85,0.0,32.0,32.0,0.3601531982421875,37.01162897050381,2559.78759765625
86,1,86,0.0,32.0,32.0,0.3414306640625,37.838071992155164,2545.39501953125
87,1,87,0.0,32.0,32.0,0.3291358947753906,41.023896948900074,2691.4482421875
88,1,88,0.0,32.0,32.0,0.31671905517578125,39.512062969151884,2559.78759765625
89,1,89,0.0,32.0,32.0,0.2726898193359375,42.267373006325215,2663.32177734375
90,1,90,0.0,32.0,32.0,0.3025093078613281,39.46962603367865,2442.669921875
